2025-08-07 21:22:12,503 | Meas=25.03 | Ctrl=0.00 | Model=25.03 | Anom=False
2025-08-07 21:22:48,418 | Meas=25.01 | Ctrl=0.00 | Model=24.95 | Anom=True
2025-08-07 21:22:49,414 | Meas=25.06 | Ctrl=0.00 | Model=24.89 | Anom=True
2025-08-07 21:22:50,423 | Meas=25.01 | Ctrl=0.00 | Model=24.83 | Anom=True
2025-08-07 21:22:51,435 | Meas=25.03 | Ctrl=0.00 | Model=24.78 | Anom=True
2025-08-07 21:22:52,443 | Meas=25.04 | Ctrl=0.00 | Model=25.04 | Anom=False
2025-08-07 21:22:53,411 | Meas=25.02 | Ctrl=0.00 | Model=24.98 | Anom=True
2025-08-07 21:22:54,424 | Meas=24.87 | Ctrl=0.00 | Model=24.92 | Anom=True
2025-08-07 21:22:55,432 | Meas=24.99 | Ctrl=0.00 | Model=24.86 | Anom=True
2025-08-07 21:22:56,459 | Meas=25.00 | Ctrl=0.00 | Model=24.80 | Anom=True
2025-08-07 21:22:57,421 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-07 21:22:58,419 | Meas=24.97 | Ctrl=0.00 | Model=24.95 | Anom=True
2025-08-07 21:22:59,433 | Meas=25.01 | Ctrl=0.00 | Model=24.89 | Anom=True
2025-08-07 21:23:00,442 | Meas=25.05 | Ctrl=0.00 | Model=24.83 | Anom=True
2025-08-07 21:23:01,422 | Meas=25.03 | Ctrl=0.00 | Model=24.78 | Anom=True
2025-08-07 21:23:02,409 | Meas=25.14 | Ctrl=0.00 | Model=24.72 | Anom=True
2025-08-07 21:23:03,412 | Meas=25.01 | Ctrl=0.00 | Model=24.67 | Anom=True
2025-08-07 21:23:04,414 | Meas=25.07 | Ctrl=0.00 | Model=24.61 | Anom=True
2025-08-07 21:23:05,415 | Meas=25.03 | Ctrl=0.00 | Model=25.03 | Anom=False
2025-08-07 21:23:06,446 | Meas=25.04 | Ctrl=0.00 | Model=24.97 | Anom=True
2025-08-07 21:23:07,490 | Meas=25.02 | Ctrl=0.00 | Model=25.02 | Anom=False
2025-08-07 21:23:08,453 | Meas=24.92 | Ctrl=0.00 | Model=24.96 | Anom=True
2025-08-07 21:23:09,435 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-07 21:23:10,460 | Meas=25.17 | Ctrl=0.00 | Model=24.95 | Anom=True
2025-08-07 21:23:11,484 | Meas=25.12 | Ctrl=0.00 | Model=25.12 | Anom=False
2025-08-07 21:23:12,508 | Meas=25.09 | Ctrl=0.00 | Model=25.06 | Anom=True
2025-08-07 21:23:13,534 | Meas=20.95 | Ctrl=4.66 | Model=25.93 | Anom=True
2025-08-07 21:23:14,429 | Meas=19.04 | Ctrl=5.00 | Model=26.85 | Anom=True
2025-08-07 21:23:15,478 | Meas=19.94 | Ctrl=5.00 | Model=27.75 | Anom=True
2025-08-07 21:23:16,485 | Meas=20.01 | Ctrl=5.00 | Model=28.64 | Anom=True
2025-08-07 21:23:17,482 | Meas=24.94 | Ctrl=-0.30 | Model=28.45 | Anom=True
2025-08-07 21:23:18,461 | Meas=24.87 | Ctrl=0.20 | Model=28.36 | Anom=True
2025-08-07 21:23:19,516 | Meas=25.00 | Ctrl=0.20 | Model=25.00 | Anom=False
2025-08-07 21:23:20,499 | Meas=25.06 | Ctrl=0.20 | Model=25.06 | Anom=False
2025-08-07 21:23:21,521 | Meas=25.00 | Ctrl=0.20 | Model=25.00 | Anom=False
2025-08-07 21:23:22,543 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:23:23,466 | Meas=24.98 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-07 21:23:24,490 | Meas=25.17 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-07 21:23:25,468 | Meas=25.05 | Ctrl=0.20 | Model=24.95 | Anom=True
2025-08-07 21:23:26,539 | Meas=24.97 | Ctrl=0.20 | Model=24.93 | Anom=True
2025-08-07 21:23:27,458 | Meas=24.95 | Ctrl=0.20 | Model=24.92 | Anom=True
2025-08-07 21:23:28,485 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-07 21:23:29,508 | Meas=25.05 | Ctrl=0.20 | Model=25.02 | Anom=True
2025-08-07 21:23:30,532 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-07 21:23:31,565 | Meas=24.99 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-07 21:23:32,478 | Meas=25.02 | Ctrl=0.20 | Model=25.01 | Anom=True
2025-08-07 21:23:33,502 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:23:34,525 | Meas=25.06 | Ctrl=0.20 | Model=25.06 | Anom=False
2025-08-07 21:23:35,550 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-07 21:23:36,574 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-07 21:23:37,501 | Meas=24.97 | Ctrl=0.20 | Model=25.01 | Anom=True
2025-08-07 21:23:38,518 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=False
2025-08-07 21:23:39,543 | Meas=25.08 | Ctrl=0.20 | Model=25.08 | Anom=False
2025-08-07 21:23:40,572 | Meas=24.91 | Ctrl=0.20 | Model=25.06 | Anom=True
2025-08-07 21:23:41,488 | Meas=24.96 | Ctrl=0.20 | Model=24.96 | Anom=False
2025-08-07 21:23:42,512 | Meas=25.08 | Ctrl=0.20 | Model=24.94 | Anom=True
2025-08-07 21:23:43,537 | Meas=25.08 | Ctrl=0.20 | Model=24.92 | Anom=True
2025-08-07 21:23:44,561 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-07 21:23:45,585 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-07 21:23:46,505 | Meas=24.99 | Ctrl=0.20 | Model=24.99 | Anom=False
2025-08-07 21:23:47,533 | Meas=25.06 | Ctrl=0.20 | Model=25.06 | Anom=False
2025-08-07 21:23:48,553 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:23:49,580 | Meas=25.05 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-07 21:23:50,500 | Meas=25.05 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-07 21:23:51,523 | Meas=25.13 | Ctrl=0.20 | Model=24.95 | Anom=True
2025-08-07 21:23:52,546 | Meas=25.09 | Ctrl=0.20 | Model=24.93 | Anom=True
2025-08-07 21:23:53,571 | Meas=25.07 | Ctrl=0.20 | Model=25.07 | Anom=False
2025-08-07 21:23:54,594 | Meas=24.97 | Ctrl=0.20 | Model=25.05 | Anom=True
2025-08-07 21:23:55,517 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-07 21:23:56,540 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-07 21:23:57,567 | Meas=25.00 | Ctrl=0.20 | Model=25.00 | Anom=False
2025-08-07 21:23:58,589 | Meas=24.99 | Ctrl=0.20 | Model=24.99 | Anom=False
2025-08-07 21:23:59,614 | Meas=25.15 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-07 21:24:00,535 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=False
2025-08-07 21:24:01,558 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=False
2025-08-07 21:24:02,583 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:24:03,604 | Meas=25.04 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-07 21:24:04,527 | Meas=24.93 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-07 21:24:05,529 | Meas=25.07 | Ctrl=0.20 | Model=24.95 | Anom=True
2025-08-07 21:24:06,578 | Meas=25.07 | Ctrl=0.20 | Model=25.07 | Anom=False
2025-08-07 21:24:07,601 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:24:08,528 | Meas=24.95 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-07 21:24:09,648 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-07 21:24:10,569 | Meas=24.86 | Ctrl=0.20 | Model=25.00 | Anom=True
2025-08-07 21:24:11,594 | Meas=24.99 | Ctrl=0.20 | Model=24.98 | Anom=True
2025-08-07 21:24:12,618 | Meas=25.05 | Ctrl=0.20 | Model=24.96 | Anom=True
2025-08-07 21:24:13,641 | Meas=24.99 | Ctrl=0.20 | Model=24.94 | Anom=True
2025-08-07 21:24:14,563 | Meas=25.18 | Ctrl=0.20 | Model=24.92 | Anom=True
2025-08-07 21:24:15,587 | Meas=25.02 | Ctrl=0.20 | Model=24.91 | Anom=True
2025-08-07 21:24:16,612 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:24:17,548 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-07 21:24:18,661 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-07 21:24:19,587 | Meas=24.98 | Ctrl=0.20 | Model=24.98 | Anom=False
2025-08-12 22:35:08,126 | Meas=25.05 | Ctrl=0.00 | Model=25.05 | Anom=False
2025-08-12 22:35:08,877 | Meas=25.02 | Ctrl=0.00 | Model=25.02 | Anom=False
2025-08-12 22:35:09,840 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-12 22:35:10,965 | Meas=25.06 | Ctrl=0.00 | Model=25.06 | Anom=False
2025-08-12 22:35:11,888 | Meas=24.97 | Ctrl=0.00 | Model=24.97 | Anom=False
2025-08-12 22:35:12,907 | Meas=25.00 | Ctrl=0.00 | Model=25.00 | Anom=False
2025-08-12 22:35:13,918 | Meas=25.09 | Ctrl=0.00 | Model=25.09 | Anom=False
2025-08-12 22:35:15,046 | Meas=25.06 | Ctrl=0.00 | Model=25.06 | Anom=False
2025-08-12 22:35:15,965 | Meas=24.83 | Ctrl=0.00 | Model=25.00 | Anom=True
2025-08-12 22:35:16,996 | Meas=25.03 | Ctrl=0.00 | Model=25.03 | Anom=False
2025-08-12 22:35:18,030 | Meas=24.90 | Ctrl=0.00 | Model=24.97 | Anom=True
2025-08-12 22:35:18,945 | Meas=24.98 | Ctrl=0.00 | Model=24.98 | Anom=False
2025-08-12 22:35:20,167 | Meas=25.00 | Ctrl=0.00 | Model=25.00 | Anom=False
2025-08-12 22:35:20,993 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-12 22:35:21,915 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-12 22:35:23,044 | Meas=25.06 | Ctrl=0.00 | Model=25.06 | Anom=False
2025-08-12 22:35:23,963 | Meas=25.00 | Ctrl=0.00 | Model=25.00 | Anom=False
2025-08-12 22:35:24,879 | Meas=25.02 | Ctrl=0.00 | Model=25.02 | Anom=False
2025-08-12 22:35:25,897 | Meas=25.04 | Ctrl=0.00 | Model=25.04 | Anom=False
2025-08-12 22:35:26,925 | Meas=25.06 | Ctrl=0.00 | Model=25.06 | Anom=False
2025-08-12 22:35:28,051 | Meas=24.99 | Ctrl=0.00 | Model=24.99 | Anom=False
2025-08-12 22:35:28,970 | Meas=24.96 | Ctrl=0.00 | Model=24.93 | Anom=True
2025-08-12 22:35:29,995 | Meas=25.09 | Ctrl=0.00 | Model=24.87 | Anom=True
2025-08-12 22:35:30,924 | Meas=25.13 | Ctrl=0.00 | Model=24.81 | Anom=True
2025-08-12 22:35:31,941 | Meas=25.16 | Ctrl=0.00 | Model=24.76 | Anom=True
2025-08-12 22:35:32,874 | Meas=25.01 | Ctrl=0.00 | Model=24.70 | Anom=True
2025-08-12 22:35:33,897 | Meas=25.14 | Ctrl=0.00 | Model=24.65 | Anom=True
2025-08-12 22:35:34,911 | Meas=24.91 | Ctrl=0.00 | Model=24.60 | Anom=True
2025-08-12 22:35:36,050 | Meas=25.05 | Ctrl=0.00 | Model=24.54 | Anom=True
2025-08-12 22:35:36,965 | Meas=24.90 | Ctrl=0.00 | Model=24.49 | Anom=True
2025-08-12 22:35:38,116 | Meas=25.15 | Ctrl=0.00 | Model=24.44 | Anom=True
2025-08-12 22:35:39,015 | Meas=31.50 | Ctrl=-5.00 | Model=23.39 | Anom=False
2025-08-12 22:35:39,937 | Meas=31.55 | Ctrl=-5.00 | Model=22.37 | Anom=False
2025-08-12 22:35:41,068 | Meas=31.60 | Ctrl=-5.00 | Model=21.36 | Anom=False
2025-08-12 22:35:41,981 | Meas=25.01 | Ctrl=0.66 | Model=25.01 | Anom=False
2025-08-12 22:35:43,000 | Meas=25.03 | Ctrl=0.00 | Model=25.03 | Anom=False
2025-08-12 22:35:43,938 | Meas=24.98 | Ctrl=0.00 | Model=24.97 | Anom=True
2025-08-12 22:35:44,963 | Meas=25.17 | Ctrl=0.00 | Model=24.91 | Anom=True
2025-08-12 22:35:46,075 | Meas=25.05 | Ctrl=0.00 | Model=24.85 | Anom=True
2025-08-12 22:35:47,068 | Meas=25.05 | Ctrl=0.00 | Model=24.79 | Anom=True
2025-08-12 22:35:47,929 | Meas=25.01 | Ctrl=0.00 | Model=25.01 | Anom=False
2025-08-12 22:35:49,055 | Meas=25.01 | Ctrl=0.00 | Model=24.95 | Anom=True
2025-08-12 22:35:50,062 | Meas=25.06 | Ctrl=0.00 | Model=24.89 | Anom=True
2025-08-12 22:35:51,108 | Meas=25.11 | Ctrl=0.00 | Model=24.83 | Anom=True
2025-08-12 22:35:52,011 | Meas=24.98 | Ctrl=0.00 | Model=24.78 | Anom=True
2025-08-12 22:35:52,926 | Meas=25.04 | Ctrl=0.00 | Model=25.04 | Anom=False
2025-08-12 22:35:53,916 | Meas=24.99 | Ctrl=0.00 | Model=24.98 | Anom=True
2025-08-12 22:35:54,923 | Meas=24.95 | Ctrl=0.00 | Model=24.92 | Anom=True
2025-08-12 22:35:56,107 | Meas=25.20 | Ctrl=0.00 | Model=24.86 | Anom=True
2025-08-12 22:35:56,935 | Meas=25.06 | Ctrl=0.00 | Model=24.80 | Anom=True
2025-08-12 22:35:57,952 | Meas=25.07 | Ctrl=0.00 | Model=24.75 | Anom=True
2025-08-12 22:35:59,089 | Meas=24.87 | Ctrl=0.00 | Model=24.69 | Anom=True
2025-08-12 22:36:00,100 | Meas=25.13 | Ctrl=0.00 | Model=24.64 | Anom=True
2025-08-12 22:36:00,946 | Meas=25.02 | Ctrl=0.00 | Model=25.02 | Anom=False
2025-08-12 22:36:02,147 | Meas=25.01 | Ctrl=0.00 | Model=24.96 | Anom=True
2025-08-12 22:36:02,966 | Meas=24.98 | Ctrl=0.00 | Model=24.98 | Anom=False
2025-08-12 22:36:04,095 | Meas=25.12 | Ctrl=0.00 | Model=24.92 | Anom=True
2025-08-12 22:36:05,017 | Meas=24.97 | Ctrl=0.00 | Model=24.97 | Anom=False
2025-08-12 22:36:05,941 | Meas=24.90 | Ctrl=0.00 | Model=24.91 | Anom=True
2025-08-12 22:36:06,960 | Meas=25.09 | Ctrl=0.00 | Model=25.09 | Anom=False
2025-08-12 22:36:07,994 | Meas=24.85 | Ctrl=0.00 | Model=25.03 | Anom=True
2025-08-12 22:36:09,242 | Meas=20.95 | Ctrl=4.66 | Model=25.90 | Anom=True
2025-08-12 22:36:10,047 | Meas=19.04 | Ctrl=5.00 | Model=26.82 | Anom=True
2025-08-12 22:36:11,389 | Meas=19.94 | Ctrl=5.00 | Model=27.72 | Anom=True
2025-08-12 22:36:11,980 | Meas=20.01 | Ctrl=5.00 | Model=28.61 | Anom=True
2025-08-12 22:36:13,003 | Meas=25.05 | Ctrl=-0.30 | Model=28.42 | Anom=True
2025-08-12 22:36:14,129 | Meas=25.04 | Ctrl=0.20 | Model=28.33 | Anom=True
2025-08-12 22:36:15,051 | Meas=24.98 | Ctrl=0.20 | Model=24.98 | Anom=False
2025-08-12 22:36:15,972 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-12 22:36:17,132 | Meas=24.99 | Ctrl=0.20 | Model=24.99 | Anom=False
2025-08-12 22:36:18,020 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-12 22:36:19,148 | Meas=25.07 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-12 22:36:19,972 | Meas=24.78 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-12 22:36:21,008 | Meas=24.86 | Ctrl=0.20 | Model=24.95 | Anom=True
2025-08-12 22:36:22,137 | Meas=24.99 | Ctrl=0.20 | Model=24.93 | Anom=True
2025-08-12 22:36:23,053 | Meas=24.98 | Ctrl=0.20 | Model=24.92 | Anom=True
2025-08-12 22:36:24,174 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:36:25,016 | Meas=24.85 | Ctrl=0.20 | Model=25.02 | Anom=True
2025-08-12 22:36:26,026 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-12 22:36:26,984 | Meas=25.05 | Ctrl=0.20 | Model=25.00 | Anom=True
2025-08-12 22:36:28,055 | Meas=25.00 | Ctrl=0.20 | Model=24.98 | Anom=True
2025-08-12 22:36:28,989 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=False
2025-08-12 22:36:30,001 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=False
2025-08-12 22:36:30,991 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-12 22:36:32,152 | Meas=25.03 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-12 22:36:33,074 | Meas=24.92 | Ctrl=0.20 | Model=25.01 | Anom=True
2025-08-12 22:36:34,000 | Meas=25.00 | Ctrl=0.20 | Model=25.00 | Anom=False
2025-08-12 22:36:35,017 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-12 22:36:36,042 | Meas=24.97 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-12 22:36:37,174 | Meas=24.95 | Ctrl=0.20 | Model=24.95 | Anom=False
2025-08-12 22:36:38,100 | Meas=25.07 | Ctrl=0.20 | Model=24.93 | Anom=True
2025-08-12 22:36:39,017 | Meas=24.91 | Ctrl=0.20 | Model=24.91 | Anom=True
2025-08-12 22:36:40,151 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-12 22:36:41,270 | Meas=25.07 | Ctrl=0.20 | Model=25.07 | Anom=False
2025-08-12 22:36:42,188 | Meas=24.98 | Ctrl=0.20 | Model=24.98 | Anom=False
2025-08-12 22:36:43,113 | Meas=25.10 | Ctrl=0.20 | Model=25.10 | Anom=False
2025-08-12 22:36:44,030 | Meas=25.02 | Ctrl=0.20 | Model=25.02 | Anom=False
2025-08-12 22:36:45,163 | Meas=25.17 | Ctrl=0.20 | Model=25.00 | Anom=True
2025-08-12 22:36:46,077 | Meas=25.01 | Ctrl=0.20 | Model=24.98 | Anom=True
2025-08-12 22:36:47,112 | Meas=24.99 | Ctrl=0.20 | Model=24.96 | Anom=True
2025-08-12 22:36:48,029 | Meas=25.15 | Ctrl=0.20 | Model=24.94 | Anom=True
2025-08-12 22:36:49,046 | Meas=25.08 | Ctrl=0.20 | Model=25.08 | Anom=False
2025-08-12 22:36:50,276 | Meas=25.07 | Ctrl=0.20 | Model=25.06 | Anom=True
2025-08-12 22:36:51,096 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:36:52,054 | Meas=24.98 | Ctrl=0.20 | Model=24.98 | Anom=False
2025-08-12 22:36:53,166 | Meas=24.99 | Ctrl=0.20 | Model=24.99 | Anom=False
2025-08-12 22:36:54,083 | Meas=25.00 | Ctrl=0.20 | Model=25.00 | Anom=False
2025-08-12 22:36:55,199 | Meas=24.99 | Ctrl=0.20 | Model=24.98 | Anom=True
2025-08-12 22:36:56,218 | Meas=24.97 | Ctrl=0.20 | Model=24.97 | Anom=False
2025-08-12 22:36:57,048 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:36:58,060 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-12 22:36:59,083 | Meas=24.95 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-12 22:37:00,053 | Meas=24.99 | Ctrl=0.20 | Model=25.01 | Anom=True
2025-08-12 22:37:01,060 | Meas=24.96 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-12 22:37:02,077 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:37:03,061 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:37:04,204 | Meas=25.21 | Ctrl=0.20 | Model=25.02 | Anom=True
2025-08-12 22:37:05,064 | Meas=25.05 | Ctrl=0.20 | Model=25.05 | Anom=False
2025-08-12 22:37:06,160 | Meas=25.04 | Ctrl=0.20 | Model=25.03 | Anom=True
2025-08-12 22:37:07,136 | Meas=25.02 | Ctrl=0.20 | Model=25.01 | Anom=True
2025-08-12 22:37:08,090 | Meas=24.96 | Ctrl=0.20 | Model=24.99 | Anom=True
2025-08-12 22:37:09,108 | Meas=25.05 | Ctrl=0.20 | Model=24.97 | Anom=True
2025-08-12 22:37:10,246 | Meas=24.94 | Ctrl=0.20 | Model=24.95 | Anom=True
2025-08-12 22:37:11,078 | Meas=25.06 | Ctrl=0.20 | Model=24.93 | Anom=True
2025-08-12 22:37:12,084 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-12 22:37:13,220 | Meas=25.04 | Ctrl=0.20 | Model=25.04 | Anom=False
2025-08-12 22:37:14,135 | Meas=25.01 | Ctrl=0.20 | Model=25.01 | Anom=False
2025-08-12 22:37:15,088 | Meas=24.99 | Ctrl=0.20 | Model=24.99 | Anom=False
